date,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
2015-04-15,77.11397158018039,93.32641769439317,75.20425675978528,7.316081203322067,56.121594683209686,69.73816380600553,25.742577882543184,24.156025033380534,55.60726912247309,30.311493225938268,97.50877949610577,4.623946350483276,29.176378353297537,62.78834625855134,22.90958962542372,68.25509045519917,16.241839988237704,54.91584752584355,44.45153301740189,81.37644729590332
2015-04-16,12.442664636713063,23.600309451569757,12.44258784469886,0.9442687497207225,45.944576835412306,41.18903268200312,56.56362059579085,68.81240019899964,68.71662276093346,24.905779051741995,4.5504645528056775,14.567624692289005,39.86668303330906,46.40805395853893,17.431550615994418,17.493653240395947,31.52941684301198,57.17829616369996,35.114575260766024,79.46033048951591
2015-04-17,77.63942650024886,73.98775858290463,76.15151883041413,70.15472915164564,99.13439420905263,76.34172866185878,34.2956856725485,53.77438186775563,35.6081689472149,26.14276059435372,21.311250967342588,67.7443348600646,38.90777662167088,43.99421218348641,55.545663898385826,23.39953328218317,4.076005145213923,69.02758108838705,29.95673865800389,62.71131645764719
2015-04-18,60.5474554859307,89.41636090504115,71.75469757764404,30.24536236627885,69.45868936227767,37.80905215715558,28.202294039237476,0.7935205208042362,27.89600642877721,31.528384981480574,26.244382253542998,23.28786419287585,26.134776335235543,21.021143641499897,48.69985074095497,53.76309494610483,8.676297823271673,72.13024124547731,59.119943103288584,67.87320686114809
2015-04-19,83.84616323589559,56.62036194575166,21.852039735281693,24.836304238225935,55.87015243120522,35.290828276464204,87.22453639019344,12.204053623092559,16.52613455473172,93.28443560162637,30.356054105133246,5.373278225669664,16.458143646259103,34.96989094929804,38.77309082504572,98.50721166683635,33.757615706345526,64.52548821019455,14.138248318560919,34.95865378578188
2015-04-20,23.057305981655716,34.96899766489152,40.560798206490304,1.8949368462008231,95.00129221732136,19.931868492075623,96.41124616612562,76.34234010365323,28.753907347140807,48.353377589725156,65.0305906478603,70.58065304188932,46.15738603760152,52.58672403460126,35.851238189404185,11.927165482087565,10.925005819508938,85.75583938331009,93.57268573933905,84.85178211119043
2015-04-21,63.903181245754645,77.58892805763077,60.17487992700226,17.366659670450968,82.68423004770638,66.47477812204781,56.95515755921067,94.22954773491504,76.0747780197846,7.070700346192127,67.3088092835147,56.54806716299938,52.23126722077174,91.83180538813957,36.80105135725119,32.127356510941496,97.123599162258,75.65886793258642,99.22490452742099,14.072517789302763
2015-04-22,70.6880189445737,50.87475043333593,38.96360556482955,30.135608176084027,12.858862995104126,14.581651343975555,12.696221149074361,88.70447954289307,9.024662225027825,64.9298442466702,54.61208564910345,73.09144913188592,51.47988332173776,92.40422445420184,54.49536461358048,34.757158916585276,56.35866083254189,76.15153026746708,57.12460935423081,59.94247376826193
2015-04-23,16.082398536456953,27.132203317608283,18.560408620007763,55.91550226046282,84.18104766887603,58.29744200898115,65.29012666889241,38.11871901708731,38.5500629121275,41.10907724755146,47.85625661057139,21.947256357763866,90.38966202830633,58.71255800011513,97.91498777903199,11.878803338442035,96.25412176339681,88.4669333014632,57.5205653281461,74.8389369068814
2015-04-24,0.7994769067807606,52.06314565853558,2.2068620433142727,49.585920972851824,96.29676178780514,55.79800263425223,19.85134603624846,73.97704917259631,6.872684827090714,84.48361546005123,20.94475734174892,59.25373517697121,76.56507057280953,21.671483290469773,43.045083211793624,56.013978954407584,87.43888056817696,13.077607429740635,11.501001340475836,57.92200322054557
